Parola,Significato in Italiano
clumsy,"Goffo, maldestro"
assertive,"Assertivo, sicuro di sé"
egotistical,"Egocentrico, presuntuoso"
gullible,"Credulone, ingenuo"
assured,"Sicuro, certo"
bred,"Allevato, cresciuto"
brought up,"Cresciuto, educato"
deprecating (self-deprecating),"Autocritico, che si sminuisce"
well-mannered,Ben educato
reliant (on),"Dipendente da, che fa affidamento su"
constrain,"Limitare, costringere"
well-rounded,"Completo, a tutto tondo"
out of character,"Fuori dal personaggio, non da lui/lei"
look down on,Guardare dall'alto in basso
well-liked,Benvoluto
inherent,"Intrinseco, connaturato"
clear divide,Netta divisione
on the one hand ... on the other (hand),Da un lato ... dall'altro
nevertheless,"Tuttavia, nondimeno"
however,"Tuttavia, però"
on the other hand,D'altro canto
therefore,"Pertanto, quindi"
as a result,Di conseguenza
in contrast,"In contrasto, al contrario"
seldom,Raramente
facility,Struttura/impianto; facilità (abilità)
offenders,"Trasgressori, rei"
leaflet,"Volantino, opuscolo"
empower,"Dare potere, responsabilizzare"
training,"Formazione, addestramento"
on the matter,Sulla questione
tailored,"Su misura, personalizzato"
convey,"Trasmettere, comunicare"
downward,Discendente; verso il basso
boasting,"Vantarsi, ostentare"
tally,Conteggio; contare
round out,"Completare, arrotondare"
garnering,"Ottenere, raccogliere"
powerhouses,"Potenza, forza trainante"
prowess,"Abilità, destrezza"
outline,Delineare; schema
noteworthy,Degno di nota
exhibited,"Esposto, mostrato"
zenith,"Zenit, apice"
upward trajectory,Traiettoria ascendente
albeit,"Benché, sebbene"
nuanced,"Sfumato, con sottigliezze"
staggering,Sbalorditivo
lagging,"In ritardo, arretrato"
the lower end,La fascia bassa
conversely,Viceversa
underscore,Sottolineare
cohort,"Gruppo, coorte"
spanning,"Estendendosi, coprendo"
fluctuations,Fluttuazioni
somewhat,"In qualche modo, piuttosto"
notably,"Particolarmente, specialmente"
shift,"Cambio, spostamento"
household,Nucleo familiare
derelict,"Abbandonato, in rovina"
warehouse,Magazzino
pond,Stagno
undergo,"Sottoporsi a, subire"
retain,"Mantenere, trattenere"
amenities,"Servizi, comfort"
molten,"Fuso (riferito a metallo, vetro)"
annealing,Ricottura (processo metallurgico/vetro)
assurance,"Garanzia, assicurazione; sicurezza"
glassware,Oggetti di vetro
steepest surge,Aumento più ripido
commodities,"Materie prime, beni"
downturn,"Calo, recessione"
elucidate,"Chiarire, spiegare"
thereby,In tal modo
wax lid,Coperchio di cera
in essence,In sostanza
grazing,"Pascere, brucare"
subsequently,Successivamente
freshness,Freschezza
shelf life,Durata di conservazione
seamless,"Senza soluzione di continuità, fluido"
upward trend,Tendenza al rialzo
renowned,Rinomato
surge,Aumento improvviso
mandated,Obbligatorio; imposto
advocates,Sostenitori
broadening,"Allargamento, espansione"
instigate,"Innescare, istigare"
opponents,Avversari
contend,"Sostenere, affermare"
paramount,Di primaria importanza
compelling,"Coinvolgente, convincente"
societal,Sociale
blend,Mescolare; miscela
abrupt,Improvviso
withdrawal,"Ritiro, prelievo"
reliance,Dipendenza
infringement,"Violazione, infrazione"
hazardous,Pericoloso
advocate,Sostenitore; sostenere
proponents,"Proponenti, sostenitori"
self-esteem,Autostima
behavioral,Comportamentale
foster,"Favorire, promuovere"
nuanced view,Visione sfumata
coverage,Copertura
leverage,Leva; sfruttare
scrutiny,"Esame attento, scrutinio"
outcomes,Risultati
relentless,Implacabile
undue,"Eccessivo, indebito"
withstand,"Resistere a, sopportare"
imperative,Imperativo; di vitale importanza
to curb,"Frenare, limitare"
proactive,Proattivo
groundwork,Lavoro preparatorio
assertion,"Affermazione, asserzione"
array,"Gamma, schiera"
foster skill,Sviluppare una competenza
solely,"Unicamente, solo"
retention,"Mantenimento, ritenzione"
mediums,"Mezzi, canali"
holistic,"Olistico, globale"
inhibition,Inibizione
citizenry,Cittadinanza
ubiquitous,Onnipresente
internet browsing,Navigazione in internet
leisure,Tempo libero
stems,Deriva da
enticing,Allettante
fulfillment,Soddisfazione
benchmark,"Riferimento, standard"
pivotal,Cruciale
workforce,Forza lavoro
grasps,Afferra; comprensione
guideline,Linea guida
hectic pace,Ritmo frenetico
ongoing,In corso
heritage,Patrimonio
rekindle,Ravvivare
reap,"Raccogliere, ottenere"
morale,"Morale, spirito"
manifold,Molteplici
hence,"Perciò, di conseguenza"
for the sake of money,Per il bene/solo per i soldi
